Climate Region,Vehicle Make,Vehicle Model,Vehicle Model Year,State,Count,ModelLabel
NORTHEAST,GEM,GEM,2002,NY,127,GEM GEM 2002 (NY)
NORTHEAST,NISSAN,LEAF,2013,NY,125,NISSAN LEAF 2013 (NY)
NORTHEAST,NISSAN,LEAF,2015,NY,125,NISSAN LEAF 2015 (NY)
NORTHEAST,NISSAN,LEAF,2012,NY,123,NISSAN LEAF 2012 (NY)
NORTHEAST,TESLA,MODEL S,2013,NY,123,TESLA MODEL S 2013 (NY)
NORTHEAST,TESLA,MODEL S,2014,NY,121,TESLA MODEL S 2014 (NY)
NORTHEAST,TESLA,MODEL S,2015,NY,119,TESLA MODEL S 2015 (NY)
NORTHEAST,NISSAN,LEAF,2014,NY,118,NISSAN LEAF 2014 (NY)
NORTHEAST,TESLA,MODEL X,2016,NY,113,TESLA MODEL X 2016 (NY)
NORTHEAST,TESLA,MODEL S,2016,NY,112,TESLA MODEL S 2016 (NY)
NORTHEN ROCKIES AND PLAINS (WEST NORTH CENTRAL),TESLA,MODEL S,2015,MT,87,TESLA MODEL S 2015 (MT)
NORTHEN ROCKIES AND PLAINS (WEST NORTH CENTRAL),TESLA,MODEL X,2016,MT,86,TESLA MODEL X 2016 (MT)
NORTHEN ROCKIES AND PLAINS (WEST NORTH CENTRAL),TESLA,MODEL S,2016,MT,83,TESLA MODEL S 2016 (MT)
NORTHEN ROCKIES AND PLAINS (WEST NORTH CENTRAL),TESLA,MODEL 3,2018,MT,79,TESLA MODEL 3 2018 (MT)
NORTHEN ROCKIES AND PLAINS (WEST NORTH CENTRAL),TESLA,MODEL X,2017,MT,77,TESLA MODEL X 2017 (MT)
NORTHEN ROCKIES AND PLAINS (WEST NORTH CENTRAL),CHEVROLET,BOLT EV,2017,MT,73,CHEVROLET BOLT EV 2017 (MT)
NORTHEN ROCKIES AND PLAINS (WEST NORTH CENTRAL),TESLA,MODEL S,2014,MT,73,TESLA MODEL S 2014 (MT)
NORTHEN ROCKIES AND PLAINS (WEST NORTH CENTRAL),TESLA,MODEL S,2013,MT,72,TESLA MODEL S 2013 (MT)
NORTHEN ROCKIES AND PLAINS (WEST NORTH CENTRAL),TESLA,MODEL S,2017,MT,72,TESLA MODEL S 2017 (MT)
NORTHEN ROCKIES AND PLAINS (WEST NORTH CENTRAL),TESLA,MODEL S,2018,MT,69,TESLA MODEL S 2018 (MT)
NORTHWEST,NISSAN,LEAF,2013,OR,117,NISSAN LEAF 2013 (OR)
NORTHWEST,NISSAN,LEAF,2015,OR,103,NISSAN LEAF 2015 (OR)
NORTHWEST,NISSAN,LEAF,2012,OR,91,NISSAN LEAF 2012 (OR)
NORTHWEST,VOLKSWAGEN,E-GOLF,2016,OR,88,VOLKSWAGEN E-GOLF 2016 (OR)
NORTHWEST,NISSAN,LEAF,2011,OR,87,NISSAN LEAF 2011 (OR)
NORTHWEST,NISSAN,LEAF,2016,OR,86,NISSAN LEAF 2016 (OR)
NORTHWEST,NISSAN,LEAF,2014,OR,85,NISSAN LEAF 2014 (OR)
NORTHWEST,CHEVROLET,SPARK,2015,OR,84,CHEVROLET SPARK 2015 (OR)
NORTHWEST,TESLA,MODEL 3,2018,OR,83,TESLA MODEL 3 2018 (OR)
NORTHWEST,CHEVROLET,BOLT EV,2017,OR,81,CHEVROLET BOLT EV 2017 (OR)
OHIO VALLEY (CENTRAL),AZURE DYNAMICS,TRANSIT CONNECT ELECTRIC,2011,TN,25,AZURE DYNAMICS TRANSIT CONNECT ELECTRIC 2011 (TN)
OHIO VALLEY (CENTRAL),BMW,I3,2014,TN,25,BMW I3 2014 (TN)
